#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-30T21:00:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54023b6f59f5	
#INFO	-out.max=999999	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=999999
#-nav=cat:J/ApJS/145/329&tab:{J/ApJS/145/329/sources}&key:source=J/ApJS/145/329/sources&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/145/329/sources
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=Ta
#-out=Sp
#Sp=Sp
#-out=Fit
#Fit=Fit
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_21450329
#Name: J/ApJS/145/329
#Title: Millennium Arecibo 21-cm Survey (Heiles+, 2003)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_ApJS_145_329_sources:
#Name: J/ApJS/145/329/sources
#Title: Sources parameters {\em(position does generally not coincide with the object observed)}
#Column	Name	(a9)	Source name	[ucd=meta.id;meta.main]
#Column	RAB1950	(F8.4)	Right Ascension in decimal hours (B1950)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(F8.4)	Declination in decimal degrees (B1950)	[ucd=pos.eq.dec;meta.main]
#Column	Ta	(F8.3)	Source antenna temperature	[ucd=phot.antennaTemp]
#Column	Sp	(A2)	Display the spectrum (from table1)	[ucd=meta.ref.url]
#Column	Fit	(A3)	Display the fits parameters (from table2)	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name	RAB1950	DEB1950	Ta	Sp	Fit	_RA.icrs	_DE.icrs
 	deg	deg	K	 	 	deg	deg
---------	--------	--------	--------	--	---	--------	--------
3C18     	009.5610	+09.7822	  77.737	Sp	Fit	010.2100	+10.0565
3C33-1   	016.5514	+13.0421	 131.671	Sp	Fit	017.2110	+13.3085
3C33     	016.5593	+13.0602	 119.966	Sp	Fit	017.2189	+13.3266
3C33-2   	016.5735	+13.1060	  26.978	Sp	Fit	017.2332	+13.3724
3C64     	034.8314	+08.2219	  29.840	Sp	Fit	035.4955	+08.4495
3C75-1   	043.7501	+05.8638	  37.402	Sp	Fit	044.4109	+06.0638
3C75     	043.7714	+05.8455	  54.903	Sp	Fit	044.4322	+06.0454
3C75-2   	043.7876	+05.8208	  31.018	Sp	Fit	044.4483	+06.0207
3C78     	046.4547	+03.9205	 104.002	Sp	Fit	047.1096	+04.1111
3C79     	046.7976	+16.9099	  75.156	Sp	Fit	047.5006	+17.0992
CTA21    	049.0380	+16.2944	 143.077	Sp	Fit	049.7407	+16.4756
P0320+05 	050.1730	+05.3927	  42.038	Sp	Fit	050.8342	+05.5698
NRAO140  	053.3442	+32.1435	  36.623	Sp	Fit	054.1263	+32.3082
3C93.1   	056.3980	+33.7349	  28.882	Sp	Fit	057.1946	+33.8873
P0347+05 	056.7805	+05.7094	  46.132	Sp	Fit	057.4448	+05.8606
3C98-1   	059.0301	+10.2564	  50.627	Sp	Fit	059.7143	+10.3982
3C98     	059.0459	+10.2947	  84.797	Sp	Fit	059.7303	+10.4365
3C98-2   	059.0601	+10.3166	  83.599	Sp	Fit	059.7446	+10.4583
3C105    	061.1868	+03.5572	  52.610	Sp	Fit	061.8429	+03.6900
3C109    	062.7293	+11.0766	  57.264	Sp	Fit	063.4188	+11.2027
P0428+20 	067.0276	+20.5200	  55.453	Sp	Fit	067.7647	+20.6270
3C120    	067.6313	+05.2497	  82.431	Sp	Fit	068.2958	+05.3542
3C123    	068.4801	+29.5705	 748.469	Sp	Fit	069.2683	+29.6708
3C131    	072.5442	+31.4089	  40.636	Sp	Fit	073.3476	+31.4905
3C132    	073.4267	+22.7450	  57.778	Sp	Fit	074.1796	+22.8226
3C133    	074.9759	+25.2033	  86.029	Sp	Fit	075.7434	+25.2737
3C138    	079.5688	+16.5905	 120.043	Sp	Fit	080.2912	+16.6392
3C141.0  	080.8654	+32.7933	  27.197	Sp	Fit	081.6834	+32.8355
T0526+24 	081.5234	+24.9753	  16.522	Sp	Fit	082.2925	+25.0145
3C142.1  	082.2001	+06.4711	  48.409	Sp	Fit	082.8721	+06.5073
P0531+19 	082.9476	+19.4217	 103.871	Sp	Fit	083.6858	+19.4541
T0556+19 	089.2451	+19.1461	  15.996	Sp	Fit	089.9823	+19.1480
4C22.12  	090.2105	+22.0150	  31.213	Sp	Fit	090.9636	+22.0121
3C154    	092.6784	+26.0908	  77.568	Sp	Fit	093.4551	+26.0759
T0629+10 	097.3726	+10.4045	  41.528	Sp	Fit	098.0637	+10.3671
3C167    	100.6530	+05.5800	  26.655	Sp	Fit	101.3201	+05.5269
3C172.0  	104.7667	+25.3017	  39.405	Sp	Fit	105.5341	+25.2289
DW0742+10	115.7009	+10.3092	  56.501	Sp	Fit	116.3867	+10.1870
